Symbol,Timestamp,Open,High,Low,Close,Volume
AAPL,['2022-01-03 00:00:00'],177.83,182.88,177.71,182.01,112486091
AAPL,['2022-01-04 00:00:00'],182.64,182.94,179.12,179.7,106090378
AAPL,['2022-01-05 00:00:00'],179.61,180.17,174.64,174.92,95142198
AAPL,['2022-01-06 00:00:00'],172.7,175.3,171.64,172,103899632
AAPL,['2022-01-07 00:00:00'],172.89,174.14,171.03,172.17,94554334
AAPL,['2022-01-10 00:00:00'],169.08,172.5,168.17,172.19,117005143
AAPL,['2022-01-11 00:00:00'],172.32,175.18,170.82,175.08,82100070
AAPL,['2022-01-12 00:00:00'],176.12,177.18,174.82,175.53,79502421
AAPL,['2022-01-13 00:00:00'],175.79,176.62,171.79,172.19,92057866
AAPL,['2022-01-14 00:00:00'],171.34,173.78,171.09,173.07,87780214
AAPL,['2022-01-18 00:00:00'],171.51,172.54,169.405,169.8,102183802
AAPL,['2022-01-19 00:00:00'],170,171.08,165.94,166.23,101688620
AAPL,['2022-01-20 00:00:00'],166.98,169.68,164.18,164.51,96630645
AAPL,['2022-01-21 00:00:00'],164.415,166.33,162.3,162.41,135494794
AAPL,['2022-01-24 00:00:00'],160.02,162.3,154.7,161.62,175317276
AAPL,['2022-01-25 00:00:00'],158.98,162.76,157.02,159.78,125389277
AAPL,['2022-01-26 00:00:00'],163.5,164.3894,157.82,159.69,116338085
AAPL,['2022-01-27 00:00:00'],162.45,163.84,158.28,159.22,127009128
AAPL,['2022-01-28 00:00:00'],165.71,170.35,162.8,170.33,189144340
AAPL,['2022-01-31 00:00:00'],170.16,175,169.51,174.78,129780591
AMGN,['2022-01-03 00:00:00'],223.63,226.97,222.03,226.69,3203146
AMGN,['2022-01-04 00:00:00'],225.76,228.8,224.25,227.84,3134302
AMGN,['2022-01-05 00:00:00'],227.04,229.87,224.52,225.14,2839658
AMGN,['2022-01-06 00:00:00'],225.14,226.6578,223.69,225.17,2542426
AMGN,['2022-01-07 00:00:00'],223.54,228.19,223.54,227.29,2723888
AMGN,['2022-01-10 00:00:00'],229.25,230.64,226,230.37,3803674
AMGN,['2022-01-11 00:00:00'],230.47,232.51,228.11,232.38,2655355
AMGN,['2022-01-12 00:00:00'],232.38,232.605,228.52,231.76,2222046
AMGN,['2022-01-13 00:00:00'],232.05,233.23,230.33,230.85,2574663
AMGN,['2022-01-14 00:00:00'],230.69,235.8,229.99,235.36,3568498
AMGN,['2022-01-18 00:00:00'],233.52,234.77,231.7,233.83,4533527
AMGN,['2022-01-19 00:00:00'],233.8,234.33,230.7,231.3,2383951
AMGN,['2022-01-20 00:00:00'],233.73,233.73,228.81,228.9,2426860
AMGN,['2022-01-21 00:00:00'],230.6,231.46,227.31,227.72,4680103
AMGN,['2022-01-24 00:00:00'],227.48,229.14,219.98,226.08,5292872
AMGN,['2022-01-25 00:00:00'],224.04,227.5,222.27,225.04,3269374
AMGN,['2022-01-26 00:00:00'],221.62,226.93,221.12,222.54,3263743
AMGN,['2022-01-27 00:00:00'],222.4,228.04,222.305,224,3066606
AMGN,['2022-01-28 00:00:00'],224.05,229.15,222.25,229.14,3016730
AMGN,['2022-01-31 00:00:00'],226.98,227.94,225.52,227.14,5808084
AXP,['2022-01-03 00:00:00'],164.51,168.4,164.4,168.21,3598839
AXP,['2022-01-04 00:00:00'],169.72,174.05,169.6,173.61,5262270
AXP,['2022-01-05 00:00:00'],174.71,176.31,171.5,171.76,4903792
AXP,['2022-01-06 00:00:00'],172.54,173.69,169.75,172.9,3003038
AXP,['2022-01-07 00:00:00'],172.49,175.36,171.8601,174.38,3547531
AXP,['2022-01-10 00:00:00'],176.21,176.21,170.5,173.74,5237832
AXP,['2022-01-11 00:00:00'],174.54,175.72,172.49,175.38,3212969
AXP,['2022-01-12 00:00:00'],176.23,176.82,174.17,174.47,3609139
AXP,['2022-01-13 00:00:00'],174.92,176.375,172.85,173.29,4175448
AXP,['2022-01-14 00:00:00'],168.71,168.71,164.71,168.4,7132894
AXP,['2022-01-18 00:00:00'],167.91,168.94,164.84,166.17,5390690
AXP,['2022-01-19 00:00:00'],166.73,166.73,161.17,161.39,3989770
AXP,['2022-01-20 00:00:00'],161.12,164.57,159.462,160.92,4752242
AXP,['2022-01-21 00:00:00'],159.95,161.8799,157.68,158.74,4543115
AXP,['2022-01-24 00:00:00'],155.82,158.93,153.73,158.93,2321725
AXP,['2022-01-25 00:00:00'],166.14,174.4696,159.66,173.11,14245354
AXP,['2022-01-26 00:00:00'],176.95,179.2247,173.03,175.32,8661919
AXP,['2022-01-27 00:00:00'],176.7,178.2,170.63,171.9,4061219
AXP,['2022-01-28 00:00:00'],171.76,177.21,169.77,177.06,4737280
AXP,['2022-01-31 00:00:00'],175.91,180.13,175.22,179.82,6356775
BA,['2022-01-03 00:00:00'],204,210.55,203.34,207.86,9612721
BA,['2022-01-04 00:00:00'],211.3,214.5555,209.78,213.63,11885612
BA,['2022-01-05 00:00:00'],216.64,218.93,211.81,213.07,12057035
BA,['2022-01-06 00:00:00'],214.64,216,207.86,211.34,7432959
BA,['2022-01-07 00:00:00'],212.98,218.32,212.3825,215.5,10025609
BA,['2022-01-10 00:00:00'],214.26,215.28,207.13,209.31,8820020
BA,['2022-01-11 00:00:00'],209,217.03,208.41,216.02,8446695
BA,['2022-01-12 00:00:00'],217.09,221.24,216.3,217.45,9721705
BA,['2022-01-13 00:00:00'],222.25,226.89,220.05,223.9,18125722
BA,['2022-01-14 00:00:00'],222.16,226.2,220.25,225.96,8446647
BA,['2022-01-18 00:00:00'],224.5,229.67,224.26,225.01,9348267
BA,['2022-01-19 00:00:00'],225.1,225.42,216.94,217.08,9726141
BA,['2022-01-20 00:00:00'],217.38,221.95,213.42,214.19,8261529
BA,['2022-01-21 00:00:00'],213.79,213.79,204.57,205.44,12082936
BA,['2022-01-24 00:00:00'],199.85,204.2,193.94,204.2,4852766
BA,['2022-01-25 00:00:00'],200.1,205.63,197.5501,204.1,9497277
BA,['2022-01-26 00:00:00'],206.214,206.214,191.92,194.27,19401257
BA,['2022-01-27 00:00:00'],196.38,199.7073,188.64,189.75,13123253
BA,['2022-01-28 00:00:00'],188.78,190.72,183.77,190.57,11372008
BA,['2022-01-31 00:00:00'],190.73,200.34,190,200.24,16201190
CAT,['2022-01-03 00:00:00'],207.33,208.6,205.8001,207,2461355
CAT,['2022-01-04 00:00:00'],208.28,218.92,207.94,218.08,5691176
CAT,['2022-01-05 00:00:00'],218.18,223.36,218.18,219.75,5912102
CAT,['2022-01-06 00:00:00'],221.49,222.705,218.06,221.99,4297211
CAT,['2022-01-07 00:00:00'],222.5,225.97,222.23,224.19,4108002
CAT,['2022-01-10 00:00:00'],224.95,225.7532,220.6114,221.64,4135042
CAT,['2022-01-11 00:00:00'],222,222.09,216.59,219.95,3323674
CAT,['2022-01-12 00:00:00'],222.12,223.69,220.07,222.4,2908909
CAT,['2022-01-13 00:00:00'],222.89,227.88,222.64,227,5383631
CAT,['2022-01-14 00:00:00'],224.72,229.64,223.5819,228.94,4376991
CAT,['2022-01-18 00:00:00'],227.71,230.43,226.86,229.87,6115992
CAT,['2022-01-19 00:00:00'],229.66,229.81,220.93,221.66,5638148
CAT,['2022-01-20 00:00:00'],221.08,221.87,216.04,216.63,3987443
CAT,['2022-01-21 00:00:00'],217.51,217.51,212.4196,214.09,4424010
CAT,['2022-01-24 00:00:00'],211.16,214.33,208.05,214.33,2131767
CAT,['2022-01-25 00:00:00'],212.08,216.83,207.1,214.31,4974072
CAT,['2022-01-26 00:00:00'],215,218.88,212.24,214.29,3379449
CAT,['2022-01-27 00:00:00'],215.21,217.9,210.15,212.17,3987001
CAT,['2022-01-28 00:00:00'],205.59,208,196.8,201.16,11294987
CAT,['2022-01-31 00:00:00'],199.45,201.6,194.68,201.56,6992186
CRM,['2022-01-03 00:00:00'],255.01,256.7,248.65,255.46,4761574
CRM,['2022-01-04 00:00:00'],256.85,256.87,243.395,248.23,7786969
CRM,['2022-01-05 00:00:00'],236.17,238.2,227.31,227.67,20301538
CRM,['2022-01-06 00:00:00'],228.04,234.48,226.0532,229.15,9985278
CRM,['2022-01-07 00:00:00'],228.5,232.28,226.05,228.31,6951964
CRM,['2022-01-10 00:00:00'],225.5,229.83,218.89,229.63,8358440
CRM,['2022-01-11 00:00:00'],228.8,236.35,226.56,234.84,8175644
CRM,['2022-01-12 00:00:00'],237,239.28,235.76,237.83,7257422
CRM,['2022-01-13 00:00:00'],237.5,238.79,227.92,228.63,7288789
CRM,['2022-01-14 00:00:00'],228.03,233.29,227.6074,231.23,6493566
CRM,['2022-01-18 00:00:00'],228.45,230.73,225.3,226.06,7025521
CRM,['2022-01-19 00:00:00'],227.47,232.21,226.17,226.27,5993105
CRM,['2022-01-20 00:00:00'],229.07,231.4,222.49,222.94,6439082
CRM,['2022-01-21 00:00:00'],223.06,224.77,218.25,218.63,10153674
CRM,['2022-01-24 00:00:00'],212.39,223.03,210.9,223.03,4391181
CRM,['2022-01-25 00:00:00'],221,223.9,214.67,215.39,10267091
CRM,['2022-01-26 00:00:00'],219.61,221.46,209.07,211,10216622
CRM,['2022-01-27 00:00:00'],214.08,223.15,212.06,212.74,10185476
CRM,['2022-01-28 00:00:00'],214.3,222.29,210.88,222.13,9058038
CRM,['2022-01-31 00:00:00'],222.95,232.91,222.26,232.63,8182772
CSCO,['2022-01-03 00:00:00'],62.9,63.35,62.5,63.16,19969503
CSCO,['2022-01-04 00:00:00'],62.44,62.81,61.11,61.25,34029284
CSCO,['2022-01-05 00:00:00'],61.19,61.64,60.25,60.28,30687590
CSCO,['2022-01-06 00:00:00'],60,61.13,59.91,60.92,22030539
CSCO,['2022-01-07 00:00:00'],60.87,61.5,60.67,61.13,23480806
CSCO,['2022-01-10 00:00:00'],60.865,61.895,60.52,61.82,29007499
CSCO,['2022-01-11 00:00:00'],61.595,62.43,61.44,62.37,26477143
CSCO,['2022-01-12 00:00:00'],62.4,62.8175,61.9201,62.12,15609303
CSCO,['2022-01-13 00:00:00'],62.08,62.15,61.21,61.5,17709591
CSCO,['2022-01-14 00:00:00'],61.4722,61.5,60.94,61.36,21850617
